ID;X;Y;LC;LS;MC;PLC;RSP;TI;TPI;TRI;TWI;VD;CNBL;DDR;DFI;DUI;ELEV;DECLI;ASP;LSF;VDCN
1;517282;6908678;0.007018;3.519813;0.001603;0.020464;0.018969;5.651667;1.368647;2.292052;4.093585;16.341993;886.848836;5.103874;0.926399;11.900727;887.167197;22.15576;3.076535;2.119763;1.673645
2;517204.9;6908698;-2.00E-05;1.358835;-0.003015;0.000116;-0.202572;4.732801;2.040262;0.919434;5.748612;22.176255;885.930215;4.011909;0.944319;11.5;882.191543;19.37322;3.462125;1.935283;4.03064
3;517258;6908701;0.001302;2.401325;-0.005782;0.003826;0.138384;5.102595;3.108924;1.588937;4.626915;14.707669;886.497431;4.441171;0.937818;11.037637;888.857214;22.74327;3.212017;1.883214;6.983276
4;517579.9;6908718;0.003045;0.352121;0.001703;0.061229;-0.224025;4.666611;0.775486;0.411539;5.608183;27.817779;889.837366;3.92301;0.94793;11.497522;884.745503;8.66637;2.410549;1.816601;0.593384
5;517414.9;6908723;0.006345;5.670426;-0.004458;-0.00828;-0.150525;5.854927;-3.117241;2.843236;4.832528;17.925714;888.19115;5.400896;0.914735;11.002537;885.839197;23.71778;3.074794;2.578125;-1.352783
6;517524.9;6908743;-0.001974;1.288195;-0.002545;0.005934;-0.130254;4.942588;0.210961;0.779703;6.675257;23.297395;889.140748;4.224039;0.94613;11.5;886.456883;9.35872;2.768292;1.826609;4.337708
7;517324.9;6908768;0.006376;0.660592;-0.001741;-0.004791;0.909586;4.85953;6.202842;0.618616;5.15779;1.541268;886.710666;4.116061;0.949878;11.899231;902.260851;28.43061;2.95133;1.923737;17.273254
8;517557;6908792;-0.000454;1.445971;-0.001044;0.015941;0.014542;4.775708;-0.63847;0.926104;5.978019;22.792074;888.687607;4.051348;0.945432;11.311466;889.018397;13.97301;1.81202;2.307904;3.459229
9;517194.9;6908793;-0.002792;2.13703;-0.000737;0.024797;-0.2847;3.94511;-4.725935;1.274088;5.687164;27.356221;884.947187;3.194999;0.940394;10.567857;878.876588;28.38893;4.944325;1.966173;5.88501
10;517455;6908786;0.005577;1.11752;-7.90E-05;0.020172;0.543038;4.817346;3.97966;0.908817;5.005446;8.327182;887.836291;4.086951;0.947055;11.483031;897.712772;22.2256;2.530645;1.975202;13.998474
12;517419;6908850;0.001793;0.118132;-0.001523;0.008046;0.741836;4.524292;1.576792;0.168744;6.577895;4.44315;886.545406;3.757094;0.951062;11.538032;899.311947;13.25615;1.536147;1.681863;20.676575
14;517244.9;6908863;0.00657;5.569739;-0.003186;-0.004169;0.250966;4.743522;-0.410818;2.99346;4.41927;16.597141;884.516394;4.200782;0.912136;9.976086;890.060156;25.92357;5.157261;1.969902;12.281372
15;517269.9;6908873;0.015075;1.828791;-0.002117;0.006905;0.630819;4.536811;6.086666;1.37004;4.311051;8.01873;884.639599;3.816016;0.942145;11.055059;898.316913;25.50394;5.272801;1.861123;17.956726
16;517549.9;6908888;0.007182;1.576314;0.000848;0.012964;0.560447;5.037812;5.473588;1.224485;4.39409;10.558119;887.137411;4.334334;0.944458;11.339429;900.546029;13.90555;2.334279;2.250287;7.406311
