ID;X;Y;CLASSE;AREIA_1;ARGILA_1;h;CAP;PF;PFd;EA
1;517282;6908678;RL;142;544;31.1;161.8;20;2;20
2;517204.9;6908698;RL;159;432;32.8;151.3;10;1;20
3;517258;6908701;RL;75;639;28.8;138.5;20;2;20
4;517579.9;6908718;CX;121;628;29.5;162.3;100;10;30
5;517414.9;6908723;RL;181;596;34.1;173;30;3;30
6;517524.9;6908743;RL;121;647;32.9;146.8;30;3;30
7;517324.9;6908768;RL;87;591;29.2;146.8;20;2;20
8;517557;6908792;GX;93;564;35.2;159.3;100;10;30
9;517194.9;6908793;RL;164;476;31.9;137.8;10;1;10
10;517455;6908786;CX;135;558;33.1;139.3;100;10;50
12;517419;6908850;RR;107;559;31;155;55;5.5;55
14;517244.9;6908863;RL;178;539;29.6;136.8;10;1;10
15;517269.9;6908873;RL;111;580;30.1;146.8;10;1;10
16;517549.9;6908888;CX;100;578;34.5;148.3;100;10;40
17;517654.9;6908908;RL;178;554;30.3;143.8;15;1.5;15
18;517295;6908917;RL;141;573;24;132.8;10;1;10
19;517974;6908947;RL;109;625;30.1;142.5;30;3;30
20;517499.9;6908963;CX;137;375;34;155;100;10;35
21;517428;6908974;CX;117;426;30.8;189.8;100;10;40
22;517159.9;6908983;RL;128;470;31.7;151.8;20;2;20
23;517539.9;6909003;CX;113;551;36;156.8;100;10;30
24;518028;6909004;RL;134;534;31.5;140.8;15;1.5;15
25;517469;6909007;CX;121;596;35.4;156.5;100;10;30
26;517259.9;6909038;GX;99;423;32.9;166;100;10;40
27;517995;6909045;RL;193;445;26.7;129.8;30;3;30
28;518044.9;6909053;RR;137;550;34.7;147.3;50;5;50
29;517783;6909021;RL;193;520;31.2;140.5;10;1;10
30;518124.9;6909123;RR;156;551;31.3;139;40;4;40
31;517485;6909125;CX;96;566;35.5;145.5;100;10;40
32;517949.9;6909133;CX;151;534;34;146.3;100;10;30
33;517299;6909118;CX;151;465;31.4;188.3;60;6;30
34;518021;6909140;RL;152;504;25.5;148.5;10;1;10
35;518206;6909174;CX;125;617;33.1;150.8;100;10;30
36;517578;6909156;RR;119;627;28.5;142.8;30;3;30
37;517904;6909139;CX;107;549;36.5;145.3;100;10;35
38;517909.9;6909208;CX;157;555;34.2;139.3;100;10;30
39;516903;6909217;CX;125;575;35.5;169;90;9;50
40;518024;6909218;RL;147;498;29;149;15;1.5;15
41;516914.9;6909228;RL/RR;107;580;32.6;149.6;30;3;30
42;517815;6909235;CX;161;574;33.5;146.8;100;10;40
43;518264;6909228;CX;127;614;34.1;142.8;100;10;30
44;517399.9;6909243;RL;134;614;32.4;146;20;2;20
45;518034;6909159;RR;73;330;29.1;127.8;40;4;40
