ID;X;Y;CLASSE;AREIA_1;ARGILA_1;AREIA_2;ARGILA_2;AREIA_3;ARGILA_3;AREIA_4;ARGILA_4;S1;S2;S3;S4;S;h;CAP;PF;EA
1;517282;6908678;RL;142;544;NA;NA;NA;NA;NA;NA;0;0;1;0;3;31.1;161.8;20;20
2;517204.9;6908698;RL;159;432;NA;NA;NA;NA;NA;NA;0;1;0;0;2;32.8;151.3;10;20
3;517258;6908701;RL;75;639;NA;NA;NA;NA;NA;NA;0;0;0;1;4;28.8;138.5;20;20
4;517579.9;6908718;CX;121;628;114;612;103;663;84;694;0;0;1;0;3;29.5;162.3;100;30
5;517414.9;6908723;RL;181;596;NA;NA;NA;NA;NA;NA;0;1;0;0;2;34.1;173;30;30
6;517524.9;6908743;RL;121;647;NA;NA;NA;NA;NA;NA;0;1;0;0;2;32.9;146.8;30;30
7;517324.9;6908768;RL;87;591;NA;NA;NA;NA;NA;NA;0;0;1;0;3;29.2;146.8;20;20
8;517557;6908792;GX;93;564;180;459;142;572;147;512;1;0;0;0;1;35.2;159.3;100;30
9;517194.9;6908793;RL;164;476;NA;NA;NA;NA;NA;NA;0;0;1;0;3;31.9;137.8;10;10
10;517455;6908786;CX;135;558;118;663;94;658;61;735;0;1;0;0;2;33.1;139.3;100;50
12;517419;6908850;RR;107;559;92;622;NA;NA;NA;NA;0;0;1;0;3;31;155;55;55
14;517244.9;6908863;RL;178;539;NA;NA;NA;NA;NA;NA;0;0;1;0;3;29.6;136.8;10;10
15;517269.9;6908873;RL;111;580;NA;NA;NA;NA;NA;NA;0;0;1;0;3;30.1;146.8;10;10
16;517549.9;6908888;CX;100;578;79;614;64;673;62;752;0;1;0;0;2;34.5;148.3;100;40
17;517654.9;6908908;RL;178;554;NA;NA;NA;NA;NA;NA;0;0;1;0;3;30.3;143.8;15;15
18;517295;6908917;RL;141;573;NA;NA;NA;NA;NA;NA;0;0;0;1;4;24;132.8;10;10
19;517974;6908947;RL;109;625;NA;NA;NA;NA;NA;NA;0;0;1;0;3;30.1;142.5;30;30
20;517499.9;6908963;CX;137;375;NA;NA;NA;NA;NA;NA;0;1;0;0;2;34;155;100;35
21;517428;6908974;CX;117;426;194;420;170;420;18;42;0;0;1;0;3;30.8;189.8;100;40
22;517159.9;6908983;RL;128;470;NA;NA;NA;NA;NA;NA;0;0;1;0;3;31.7;151.8;20;20
23;517539.9;6909003;CX;113;551;162;506;91;612;53;728;1;0;0;0;1;36;156.8;100;30
24;518028;6909004;RL;134;534;NA;NA;NA;NA;NA;NA;0;0;1;0;3;31.5;140.8;15;15
25;517469;6909007;CX;121;596;75;647;78;680;57;689;1;0;0;0;1;35.4;156.5;100;30
26;517259.9;6909038;GX;99;423;105;478;126;462;137;489;0;1;0;0;2;32.9;166;100;40
27;517995;6909045;RL;193;445;NA;NA;NA;NA;NA;NA;0;0;0;1;4;26.7;129.8;30;30
28;518044.9;6909053;RR;137;550;108;613;NA;NA;NA;NA;1;0;0;0;1;34.7;147.3;50;50
