ID;PERFIL;HORIZONTE;HZ;Ordem;Subordem;grande grupo;Class;Codigo;Classificação;SITIO;HZ;X;Y;PF;EA;IM;Ca;Mg;K;Na;S;Al;H+Al;CTCef;CTC;V;VAl ;P;MO;C;pH;DS;Pt;MA;MI;Ksat;AREIA;SILTE;ARGILA;CAP;d;h;LS;RSP;SL;SR;SS;TI;TPI;TRI;TWI;VD;VDCN;AH;ASP;CA;CI;CNBL;DDR;DFI;DI;DUI;ELEV
P1A1;P1;A1;A;C;X;a;CXa;P1A1-CXa;CAMBISSOLO HÁPLICO Alumínico úmbrico;3;A;517148;6909050;110;33;110;2.5;1;0.1;0.05;3.65;2.03;9.91;5.68;13.56;26.92;35.74;2.1;3.5;20.3;4.64;0.98;0.63;0.16;0.47;286.9;98.39;233.13;668.48;152;48.4;31.3;1.12;0.19;0.14;7.13;18;4.4;3.09;1.02;4.31;26.88;6.1;0.51;4.82;214.06;9.15;881.39;3.66;0.94;3.45;11.37;887.49
P1A2;P1;A2;A;C;X;a;CXa;P1A2-CXa;CAMBISSOLO HÁPLICO Alumínico úmbrico;3;A;517148;6909050;110;33;110;2.1;0.8;0.05;0.07;3.02;4.95;7.83;7.97;10.85;27.83;62.11;1.3;2.5;14.5;4.68;0.98;0.6;0.14;0.46;251.49;90.66;241.48;667.86;152;48.4;31.3;1.12;0.19;0.14;7.13;18;4.4;3.09;1.02;4.31;26.88;6.1;0.51;4.82;214.06;9.15;881.39;3.66;0.94;3.45;11.37;887.49
P1B1;P1;B1;B;C;X;a;CXa;P1B1-CXa;CAMBISSOLO HÁPLICO Alumínico úmbrico;3;B;517148;6909050;110;33;110;1.9;0.7;0.05;0.07;2.72;5.48;7.64;8.2;10.36;26.25;66.83;1;2.1;12.18;4.79;0.87;0.65;0.21;0.44;167.99;104.81;345.38;549.81;152;48.4;31.3;1.12;0.19;0.14;7.13;18;4.4;3.09;1.02;4.31;26.88;6.1;0.51;4.82;214.06;9.15;881.39;3.66;0.94;3.45;11.37;887.49
P1B2;P1;B2;B;C;X;a;CXa;P1B2-CXa;CAMBISSOLO HÁPLICO Alumínico úmbrico;3;B;517148;6909050;110;33;110;1.5;0.4;0.06;0.07;2.03;5.62;8.2;7.65;10.23;19.84;73.46;2.7;1.5;8.7;4.85;0.95;0.61;0.19;0.42;651.67;93.16;364.41;542.43;152;48.4;31.3;1.12;0.19;0.14;7.13;18;4.4;3.09;1.02;4.31;26.88;6.1;0.51;4.82;214.06;9.15;881.39;3.66;0.94;3.45;11.37;887.49
P2A;P2;A;A;R;L;dh;RLdh;P2A-RLdh;NEOSSOLO LITÓLICO Distroúmbrico fragmentário;3;A;517141;6909039;10;10;10;4.21;2.1;0.16;0.07;6.54;4.95;11.23;11.49;17.77;36.8;43.08;4.7;3.8;22.04;4.81;0.88;0.62;0.12;0.5;329.95;147.87;286.67;565.46;135.3;43.1;30.4;1.39;0.14;0.15;7.26;18;4.64;2.01;1.08;4.73;27.96;4.64;0.68;4.42;311.55;7.04;881.54;3.92;0.94;3.69;11.24;886.18
P3A1;P3;A1;A;C;X;a;CXa;P3A1-CXa;CAMBISSOLO HÁPLICO Alumínico úmbrico ;2;A;517505;6908937;100;35;100;3.48;3.08;0.25;0.09;6.9;4.3;11.41;11.2;18.31;37.68;38.39;3.9;5;29;4.62;0.93;0.65;0.18;0.47;432.43;92.02;281.52;626.45;146.2;46.5;33.6;1.7;0.54;0.17;7.58;17.46;3.69;3.47;1.22;4.77;10.29;12.11;0.33;5.94;348.12;4.1;886.55;2.91;0.94;2.75;10.38;898.66
P3A2;P3;A2;A;C;X;a;CXa;P3A2-CXa;CAMBISSOLO HÁPLICO Alumínico úmbrico ;2;A;517505;6908937;100;35;100;0.82;1.7;0.2;0.05;2.77;4.96;10.28;7.73;13.05;21.23;64.17;3;3;17.4;4.69;1.11;0.58;0.14;0.45;61.17;87.37;202.44;710.19;146.2;46.5;33.6;1.7;0.54;0.17;7.58;17.46;3.69;3.47;1.22;4.77;10.29;12.11;0.33;5.94;348.12;4.1;886.55;2.91;0.94;2.75;10.38;898.66
P3BA;P3;BA;B;C;X;a;CXa;P3BA-CXa;CAMBISSOLO HÁPLICO Alumínico úmbrico ;2;B;517505;6908937;100;35;100;0.46;0.8;0.2;0.05;1.51;5.42;9.7;6.93;11.21;13.47;78.21;2.1;2.6;15.08;4.63;1.06;0.57;0.14;0.43;340.73;76.42;201.48;722.1;146.2;46.5;33.6;1.7;0.54;0.17;7.58;17.46;3.69;3.47;1.22;4.77;10.29;12.11;0.33;5.94;348.12;4.1;886.55;2.91;0.94;2.75;10.38;898.66
P3B1;P3;B1;B;C;X;a;CXa;P3B1-CXa;CAMBISSOLO HÁPLICO Alumínico úmbrico ;2;B;517505;6908937;100;35;100;0.45;0.5;0.2;0.05;1.2;5.35;8.5;6.55;9.7;12.37;81.68;1.3;1.8;10.44;4.76;1.07;0.57;0.13;0.44;40.82;54.9;206.25;738.85;146.2;46.5;33.6;1.7;0.54;0.17;7.58;17.46;3.69;3.47;1.22;4.77;10.29;12.11;0.33;5.94;348.12;4.1;886.55;2.91;0.94;2.75;10.38;898.66
P3B2;P3;B2;B;C;X;a;CXa;P3B2-CXa;CAMBISSOLO HÁPLICO Alumínico úmbrico ;2;B;517505;6908937;100;35;100;0.4;0.3;0.2;0.07;0.97;4.43;7.4;5.4;8.37;11.59;82.04;1.2;1.1;6.38;4.96;1.16;0.56;0.08;0.48;52.73;58.55;256.82;684.63;146.2;46.5;33.6;1.7;0.54;0.17;7.58;17.46;3.69;3.47;1.22;4.77;10.29;12.11;0.33;5.94;348.12;4.1;886.55;2.91;0.94;2.75;10.38;898.66
